uzytkownik,budzet,cel,czestotliwosc,teren,doswiadczenie,pogoda,dystans,rower
kobieta,4000,rekreacja,raz w tygodniu,miasto,początkujący,każda,20,Rower crossowy GIANT Roam 2 Disc
kobieta,7000,turystyka,kilka razy w tygodniu,góry,zaawansowany,deszczowa,30,Rower crossowy GIANT Roam 2 Disc
kobieta,7000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,10,Rower biegowy REBEL KIDZ Air Classic Boy
mężczyzna,5000,sport,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,30,Rower biegowy REBEL KIDZ Air Classic Unisex
mężczyzna,1000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,20,Rower biegowy REBEL KIDZ Air Classic Unisex
kobieta,3000,sport,raz w tygodniu,teren mieszany,zaawansowany,każda,5,Rower dziecięcy SUPERIOR F.L.Y. 20 VB
mężczyzna,7000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,słoneczna,5,Rower dziecięcy SUPERIOR F.L.Y. 20 VB
mężczyzna,1500,rekreacja,codziennie,góry,początkujący,dobra,50,Rower dziecięcy SUPERIOR F.L.Y. 20 VB
mężczyzna,10000,rekreacja,codziennie,miasto,średniozaawansowany,słoneczna,30,Rower elektryczny GASGAS TRA 5
kobieta,5000,dojazdy,raz w tygodniu,teren mieszany,zaawansowany,każda,10,Rower elektryczny R-RAYMON HardRay E 1.0 T350
mężczyzna,10000,dojazdy,codziennie,góry,średniozaawansowany,słoneczna,10,Rower elektryczny R-RAYMON HardRay E 4.0 27.5
kobieta,4000,sport,codziennie,góry,średniozaawansowany,dobra,30,Rower elektryczny R-RAYMON CityRay E 2.0 500
mężczyzna,10000,sport,kilka razy w tygodniu,teren mieszany,średniozaawansowany,słoneczna,20,Rower elektryczny R-RAYMON HardRay E 4.0 29
mężczyzna,1500,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,5,Rower elektryczny R-RAYMON HardRay E 4.0 29
mężczyzna,1000,dojazdy,codziennie,miasto,początkujący,dobra,10,Rower elektryczny R-RAYMON CityRay E 2.0 500
kobieta,1500,rekreacja,codziennie,teren mieszany,średniozaawansowany,deszczowa,20,Rower elektryczny SUPERIOR eXR 6030 Touring
kobieta,1000,rekreacja,kilka razy w tygodniu,teren mieszany,początkujący,każda,30,Rower elektryczny damski SUPERIOR eXR 6030 L Touring
kobieta,7000,sport,kilka razy w tygodniu,miasto,średniozaawansowany,każda,50,Rower elektryczny SUPERIOR eXR 6090 Touring
kobieta,7000,rekreacja,codziennie,góry,początkujący,słoneczna,20,Rower elektryczny HAIBIKE AllTrack 5 27.5
mężczyzna,3000,turystyka,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,5,Rower elektryczny HAIBIKE AllTrack 5 29
mężczyzna,5000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,dobra,10,Rower elektryczny WINORA Yucatan X10 Low
kobieta,10000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,każda,30,Rower elektryczny damski SUPERIOR eXR 6090 L Touring
mężczyzna,5000,turystyka,kilka razy w tygodniu,teren mieszany,początkujący,dobra,50,Rower elektryczny GHOST Path Asket Advanced
kobieta,10000,sport,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,30,Rower elektryczny LAPIERRE Overvolt HT 9.7 Cues
mężczyzna,4000,sport,codziennie,miasto,średniozaawansowany,dobra,10,Rower elektryczny LAPIERRE Overvolt HT 9.7 Deore
kobieta,5000,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,5,Rower trekkingowy damski ROMET Gazela 6 CS
mężczyzna,5000,dojazdy,codziennie,ścieżki rowerowe,początkujący,słoneczna,50,Rower trekkingowy ROMET Wagant 6 CS
mężczyzna,7000,sport,codziennie,miasto,początkujący,deszczowa,50,Rower trekkingowy ROMET Wagant 7 CS
kobieta,1000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,50,Rower trekkingowy damski ROMET Gazela 7 CS
kobieta,7000,turystyka,raz w tygodniu,miasto,średniozaawansowany,słoneczna,5,Rower gravel KROSS Path 2.0
kobieta,5000,turystyka,codziennie,miasto,średniozaawansowany,dobra,5,Rower dziecięcy KROSS Esprit Mini
kobieta,4000,turystyka,kilka razy w tygodniu,teren mieszany,początkujący,każda,10,Rower dziecięcy KROSS Esprit JR
kobieta,7000,sport,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,10,Rower dziecięcy KROSS Espera JR
kobieta,7000,sport,codziennie,teren mieszany,początkujący,słoneczna,20,Rower dziecięcy SUPERIOR RACER XC 20
kobieta,1500,dojazdy,raz w tygodniu,góry,zaawansowany,słoneczna,10,Rower MTB GASGAS TR2
kobieta,10000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,50,Rower MTB damski GHOST Lanao Pro 27.5
kobieta,2000,rekreacja,codziennie,teren mieszany,początkujący,słoneczna,5,Rower elektryczny WINORA E-Flitzer
kobieta,2000,dojazdy,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,20,Rower miejski damski UNITY Mosca
mężczyzna,4000,turystyka,raz w tygodniu,miasto,średniozaawansowany,każda,30,Rower miejski GREEN S Eton
kobieta,10000,rekreacja,codziennie,teren mieszany,średniozaawansowany,słoneczna,5,Rower młodzieżowy OXFELD XC-1
kobieta,4000,dojazdy,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,5,Rower młodzieżowy OXFELD XC-1
mężczyzna,2000,sport,codziennie,miasto,zaawansowany,słoneczna,30,Rower miejski GREEN S Retro 3
kobieta,7000,rekreacja,raz w tygodniu,teren mieszany,zaawansowany,dobra,5,Rower miejski damski GREEN S Paisley
mężczyzna,3000,sport,codziennie,góry,początkujący,dobra,20,"Rower MTB KROSS Hexagon 1.0 26"" "
mężczyzna,5000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,50,Rower trekkingowy KROSS Trans 1.0 SR
kobieta,1500,turystyka,raz w tygodniu,góry,zaawansowany,każda,10,Rower trekkingowy KROSS Trans 1.0 SR
kobieta,10000,rekreacja,raz w tygodniu,miasto,początkujący,deszczowa,5,Rower miejski damski GREEN S Retro 7
kobieta,2000,sport,raz w tygodniu,miasto,średniozaawansowany,słoneczna,20,Rower miejski damski GREEN S Retro 7
kobieta,1000,dojazdy,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,20,Rower miejski damski GREEN S Retro 7
kobieta,1500,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,każda,50,Rower miejski damski GREEN S Retro 7
kobieta,4000,dojazdy,raz w tygodniu,góry,początkujący,deszczowa,5,"Rower MTB KROSS Hexagon 1.0 26"""
mężczyzna,1000,sport,raz w tygodniu,góry,zaawansowany,deszczowa,5,"Rower MTB KROSS Hexagon 1.0 26"""
kobieta,4000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,20,Rower MTB damski KROSS Lea 1.0
kobieta,7000,sport,kilka razy w tygodniu,góry,początkujący,słoneczna,5,Rower MTB damski OXFELD XC-2W
kobieta,5000,turystyka,raz w tygodniu,góry,zaawansowany,każda,50,Rower MTB KROSS Hexagon 1.0 SK
kobieta,3000,sport,codziennie,miasto,zaawansowany,deszczowa,20,Rower MTB KROSS Hexagon 1.0
kobieta,1500,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,5,Rower miejski damski GREEN S Retro 7
mężczyzna,1500,rekreacja,kilka razy w tygodniu,miasto,początkujący,słoneczna,5,Rower trekkingowy KROSS Trans 1.0
kobieta,2000,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,5,"Rower MTB damski KROSS Lea 2.0 27,5"""
kobieta,3000,turystyka,raz w tygodniu,góry,średniozaawansowany,dobra,30,Rower MTB damski OXFELD XC-3W
kobieta,1000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,20,Rower MTB OXFELD XC-3
kobieta,1500,turystyka,raz w tygodniu,góry,zaawansowany,dobra,10,"Rower MTB damski KROSS Lea 2.0 27,5"""
mężczyzna,4000,sport,codziennie,miasto,początkujący,każda,20,Rower MTB GREEN S Leicester
kobieta,10000,dojazdy,codziennie,teren mieszany,zaawansowany,każda,30,Rower trekkingowy OXFELD TR-4
kobieta,4000,turystyka,raz w tygodniu,teren mieszany,początkujący,słoneczna,50,Rower MTB ROMET Rambler R6.0
mężczyzna,10000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,każda,10,Rower MTB ROMET Rambler R9.0
kobieta,10000,rekreacja,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,10,Rower MTB damski OXFELD XC-4W
kobieta,10000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower MTB GASGAS TR1
kobieta,3000,sport,codziennie,miasto,początkujący,dobra,30,Rower MTB damski ROMET Jolene 6.0
kobieta,7000,dojazdy,codziennie,ścieżki rowerowe,początkujący,dobra,5,Rower miejski UNITY Amalfi
mężczyzna,10000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,5,Rower MTB GASGAS TR1 Street
mężczyzna,10000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,20,"Rower MTB KROSS Hexagon 2.0 27,5"""
kobieta,5000,dojazdy,codziennie,góry,średniozaawansowany,każda,5,Rower miejski damski ROMET Pop Art Eco 28
mężczyzna,1000,turystyka,codziennie,góry,zaawansowany,słoneczna,10,Rower trekkingowy KROSS Sentio 2.0
kobieta,1000,sport,kilka razy w tygodniu,miasto,początkujący,dobra,30,Rower trekkingowy damski KROSS Trans 2.0
mężczyzna,4000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,5,Rower trekkingowy KROSS Trans 2.0
kobieta,3000,turystyka,codziennie,miasto,początkujący,dobra,30,Rower trekkingowy KROSS Sentio 1.0
mężczyzna,3000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,deszczowa,50,Rower MTB OXFELD XC-5
kobieta,1000,sport,kilka razy w tygodniu,góry,początkujący,słoneczna,5,Rower trekkingowy damski KROSS Trans 2.0
kobieta,2000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,50,Rower trekkingowy KROSS Trans 2.0
kobieta,3000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,30,Rower miejski damski ROMET Pop Art Eco 28
kobieta,5000,sport,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,50,Rower miejski damski ROMET Pop Art Eco 26
mężczyzna,2000,sport,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,30,Rower trekkingowy KROSS Sentio 1.0
mężczyzna,1000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,każda,10,Rower trekkingowy GREEN S Chelsea High
kobieta,1500,rekreacja,kilka razy w tygodniu,miasto,zaawansowany,deszczowa,20,Rower MTB damski OXFELD XC-5W
kobieta,5000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower MTB damski ROMET Jolene 7.1
kobieta,4000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,każda,50,Rower MTB damski ROMET Jolene 7.1
kobieta,5000,dojazdy,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,10,Rower MTB damski ROMET Jolene 6.3
kobieta,3000,sport,codziennie,ścieżki rowerowe,zaawansowany,każda,50,Rower MTB OXFELD XC-6
kobieta,2000,sport,raz w tygodniu,ścieżki rowerowe,początkujący,słoneczna,50,Rower MTB damski ROMET Jolene 7.1
mężczyzna,4000,dojazdy,codziennie,teren mieszany,zaawansowany,deszczowa,30,"Rower MTB KELLYS Spider 10 27.5"""
mężczyzna,7000,dojazdy,codziennie,góry,początkujący,deszczowa,30,Rower MTB ROMET Rambler R7.1
kobieta,7000,dojazdy,raz w tygodniu,miasto,zaawansowany,dobra,50,Rower trekkingowy damski KROSS Trans 1.0
kobieta,3000,rekreacja,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,20,Rower trekkingowy KROSS Trans 3.0
kobieta,5000,dojazdy,codziennie,miasto,początkujący,każda,20,Rower składak ROMET Wigry Eco
kobieta,2000,dojazdy,raz w tygodniu,góry,zaawansowany,deszczowa,30,"Rower MTB damski KELLYS Vanity 10 29"" 2023"
kobieta,7000,turystyka,kilka razy w tygodniu,góry,początkujący,każda,30,Rower MTB damski OXFELD XC-6W
mężczyzna,2000,sport,codziennie,teren mieszany,początkujący,słoneczna,20,Rower MTB LAPIERRE Edge 2.7
kobieta,1000,turystyka,codziennie,teren mieszany,początkujący,deszczowa,10,"Rower MTB damski KELLYS Vanity 10 27.5"" 2023"
kobieta,4000,turystyka,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,50,Rower MTB LAPIERRE Edge 2.7 RST
mężczyzna,3000,dojazdy,raz w tygodniu,góry,początkujący,każda,5,"Rower MTB KROSS Hexagon 3.0 27,5"""
kobieta,10000,sport,kilka razy w tygodniu,góry,średniozaawansowany,każda,5,Rower trekkingowy KROSS Trans 3.0
kobieta,10000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,dobra,20,Rower składak ROMET Wigry Eco
kobieta,5000,sport,kilka razy w tygodniu,góry,początkujący,deszczowa,20,Rower MTB damski LAPIERRE Edge 2.7 W
mężczyzna,2000,dojazdy,codziennie,teren mieszany,początkujący,dobra,30,Rower MTB ROMET Rambler R9.1
mężczyzna,3000,rekreacja,codziennie,góry,początkujący,deszczowa,30,Rower trekkingowy ROMET Wagant 2
kobieta,1500,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,5,Rower MTB LAPIERRE Edge 2.9 RST
mężczyzna,4000,turystyka,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,10,"Rower MTB KROSS Hexagon 3.0 27,5"""
mężczyzna,5000,turystyka,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,50,Rower MTB R-RAYMON SevenRay 1.0
kobieta,2000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,każda,5,Rower MTB R-RAYMON SevenRay 1.0
kobieta,1500,sport,codziennie,teren mieszany,początkujący,słoneczna,5,Rower trekkingowy KROSS Trans 1.0
mężczyzna,1500,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,każda,50,Rower trekkingowy KROSS Trans 1.0
kobieta,5000,sport,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,5,Rower miejski damski ROMET Art Deco Classic
mężczyzna,4000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,10,Rower MTB KROSS Hexagon 2.0 29
mężczyzna,2000,turystyka,codziennie,ścieżki rowerowe,początkujący,słoneczna,50,Rower MTB R-RAYMON NineRay 1.0
kobieta,10000,sport,codziennie,teren mieszany,średniozaawansowany,słoneczna,5,Rower MTB KROSS Level 1.0 SM GL
mężczyzna,3000,dojazdy,codziennie,ścieżki rowerowe,początkujący,słoneczna,30,"Rower MTB KELLYS Spider 30 29"""
kobieta,1500,sport,codziennie,ścieżki rowerowe,średniozaawansowany,każda,10,Rower MTB R-RAYMON HardRay Seven 2.0
kobieta,2000,rekreacja,raz w tygodniu,teren mieszany,średniozaawansowany,każda,30,Rower miejski damski EMBASSY California Lady
kobieta,1500,dojazdy,codziennie,góry,zaawansowany,każda,20,Rower miejski damski EMBASSY California Lady
kobieta,1500,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,każda,50,"Rower MTB KELLYS Spider 30 27.5"""
mężczyzna,7000,rekreacja,codziennie,teren mieszany,zaawansowany,słoneczna,20,Rower trekkingowy ROMET Wagant 3
kobieta,7000,dojazdy,codziennie,teren mieszany,zaawansowany,dobra,10,Rower miejski damski ROMET Art Deco Classic
kobieta,1500,dojazdy,kilka razy w tygodniu,miasto,początkujący,każda,30,Rower MTB damski KROSS Lea 2.0 27.5
kobieta,1500,rekreacja,codziennie,miasto,początkujący,słoneczna,30,Rower MTB KROSS Hexagon 3.0 29
kobieta,4000,turystyka,kilka razy w tygodniu,góry,zaawansowany,dobra,50,Rower miejski damski EMBASSY California Lady
kobieta,3000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,5,Rower miejski damski ROMET Pop Art Lux
mężczyzna,1000,rekreacja,kilka razy w tygodniu,teren mieszany,średniozaawansowany,dobra,5,Rower MTB R-RAYMON NineRay 1.0
mężczyzna,1000,rekreacja,codziennie,teren mieszany,średniozaawansowany,deszczowa,50,"Rower MTB KROSS Hexagon 5.0 29"" MS"
mężczyzna,3000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,deszczowa,5,"Rower MTB KELLYS Spider 30 29"""
mężczyzna,4000,turystyka,raz w tygodniu,ścieżki rowerowe,początkujący,dobra,20,Rower MTB R-RAYMON HardRay 2.0
kobieta,7000,turystyka,codziennie,teren mieszany,średniozaawansowany,dobra,5,Rower MTB KROSS Hexagon 3.0 27.5
mężczyzna,1000,rekreacja,raz w tygodniu,teren mieszany,zaawansowany,każda,10,Rower MTB KROSS Level 2.0 PW
kobieta,1500,rekreacja,codziennie,góry,zaawansowany,deszczowa,20,Rower MTB KROSS Level 1.0 SM
kobieta,5000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,30,Rower miejski MARIN Kentfield 1 ST
mężczyzna,4000,dojazdy,codziennie,teren mieszany,zaawansowany,każda,50,Rower trekkingowy KROSS Trans 3.0 BG
mężczyzna,1000,turystyka,codziennie,miasto,zaawansowany,deszczowa,10,Rower MTB LAPIERRE Edge 3.7 RST
kobieta,4000,dojazdy,raz w tygodniu,góry,początkujący,deszczowa,20,Rower MTB KROSS Hexagon 2.0 EQ 29
kobieta,1000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,słoneczna,50,Rower MTB KROSS Level 1.0 PWR
mężczyzna,5000,rekreacja,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,10,Rower MTB LAPIERRE Edge 3.7
mężczyzna,1000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,30,Rower trekkingowy OXFELD TR-5
mężczyzna,1000,turystyka,codziennie,miasto,początkujący,słoneczna,20,Rower MTB KROSS Level 2.0
kobieta,10000,dojazdy,raz w tygodniu,miasto,początkujący,deszczowa,10,Rower MTB damski KROSS Lea 3.0 29
kobieta,7000,turystyka,kilka razy w tygodniu,góry,początkujący,słoneczna,10,Rower MTB damski KROSS Lea 3.0 27.5
mężczyzna,4000,turystyka,codziennie,miasto,średniozaawansowany,dobra,10,Rower miejski MARIN Kentfield 1
mężczyzna,2000,sport,kilka razy w tygodniu,teren mieszany,średniozaawansowany,dobra,50,Rower miejski MARIN Kentfield 1 ST
kobieta,1000,turystyka,codziennie,miasto,średniozaawansowany,dobra,30,Rower MTB KROSS Hexagon 2.0 EQ 27.5
mężczyzna,7000,turystyka,raz w tygodniu,miasto,zaawansowany,słoneczna,30,Rower MTB ROMET Rambler R7.4
mężczyzna,4000,dojazdy,kilka razy w tygodniu,teren mieszany,zaawansowany,słoneczna,10,Rower trekkingowy KROSS Explorer 1.0
mężczyzna,1000,sport,codziennie,góry,zaawansowany,słoneczna,5,Rower MTB ROCK MACHINE Catherine 10-29 S-Ride
kobieta,1000,turystyka,codziennie,miasto,zaawansowany,dobra,10,Rower MTB KROSS Level 1.0 SM
mężczyzna,3000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,30,Rower miejski MARIN Kentfield 1
mężczyzna,4000,turystyka,codziennie,teren mieszany,zaawansowany,słoneczna,10,Rower MTB LAPIERRE Edge 3.9 
kobieta,1000,dojazdy,codziennie,miasto,średniozaawansowany,słoneczna,30,Rower MTB LAPIERRE Edge 3.9 
kobieta,7000,dojazdy,codziennie,miasto,początkujący,deszczowa,5,Rower trekkingowy damski KROSS Explorer 1.0
kobieta,1500,sport,codziennie,góry,średniozaawansowany,każda,5,Rower MTB KROSS Level 1.0 MS SM
kobieta,1500,turystyka,codziennie,miasto,średniozaawansowany,dobra,30,Rower miejski damski EMBASSY Jules Wave
kobieta,7000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,10,Rower MTB ORBEA Onna 29 50
mężczyzna,7000,turystyka,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,10,"Rower MTB KROSS Hexagon 5.0 29"""
mężczyzna,3000,dojazdy,kilka razy w tygodniu,teren mieszany,średniozaawansowany,każda,50,"Rower MTB KROSS Hexagon 5.0 29"""
mężczyzna,4000,sport,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,5,Rower MTB ROCK MACHINE Manhattan 70-29 microSHIFT
kobieta,1500,dojazdy,codziennie,miasto,zaawansowany,każda,50,Rower trekkingowy damski OXFELD TR-7W
kobieta,10000,sport,kilka razy w tygodniu,miasto,zaawansowany,deszczowa,20,Rower MTB damski KROSS Lea 2.0 EQ 29
kobieta,10000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,każda,5,Rower trekkingowy KROSS Trans 4.0
mężczyzna,2000,sport,codziennie,teren mieszany,średniozaawansowany,słoneczna,50,Rower MTB ORBEA Onna 29 50
kobieta,1500,rekreacja,raz w tygodniu,góry,średniozaawansowany,deszczowa,30,Rower MTB damski KROSS Lea 5.0 27.5 MS
mężczyzna,3000,rekreacja,codziennie,miasto,średniozaawansowany,dobra,30,Rower MTB KROSS Level 3.0
kobieta,7000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,5,Rower MTB KROSS Hexagon 2.0 27.5
mężczyzna,1500,sport,raz w tygodniu,góry,zaawansowany,każda,30,Rower MTB ROCK MACHINE Manhattan 70-29
mężczyzna,5000,dojazdy,codziennie,góry,zaawansowany,deszczowa,5,Rower trekkingowy OXFELD TR-7
kobieta,1000,sport,codziennie,miasto,średniozaawansowany,dobra,20,Rower MTB damski KROSS Lea 2.0 EQ 27.5
mężczyzna,10000,dojazdy,codziennie,teren mieszany,początkujący,słoneczna,5,Rower trekkingowy KROSS Trans 4.0
kobieta,5000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,słoneczna,20,"Rower MTB damski KELLYS Vanity 50 27.5"""
kobieta,10000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,dobra,20,Rower MTB ROMET Rambler R7.2 CS
mężczyzna,5000,sport,kilka razy w tygodniu,góry,zaawansowany,dobra,20,Rower MTB SUPERIOR XC 819
kobieta,3000,rekreacja,raz w tygodniu,miasto,średniozaawansowany,dobra,5,Rower MTB KROSS Level 1.0
mężczyzna,3000,sport,codziennie,teren mieszany,początkujący,deszczowa,5,"Rower MTB KELLYS Spider 50 27.5"""
kobieta,3000,sport,raz w tygodniu,góry,średniozaawansowany,słoneczna,10,"Rower MTB damski KELLYS Vanity 50 29"""
